OTUId,5,4,7,6,9,11
ASV1,25730,3544,1229,10764,3705,120
ASV2,8944,36,89,21365,1306,0
ASV6,0,10,0,6,7,0
ASV8,10277,7,19,8083,15,0
ASV9,5481,11,0,17422,17,4
ASV10,18,8,0,58,6544,45
ASV11,0,0,25040,0,0,0
ASV12,0,0,0,0,0,0
ASV14,0,0,66,13,0,155
ASV15,0,0,0,0,785,15316
ASV16,0,0,0,1,64,2053
ASV17,6684,17,12,5654,0,0
ASV18,0,0,0,0,10273,0
ASV19,0,18,0,0,5,0
ASV20,0,1,2109,0,5,59
ASV21,689,0,24,2755,735,31
ASV22,0,0,0,0,7159,338
ASV23,0,0,0,0,0,0
ASV24,0,0,0,0,0,0
ASV25,1174,5,7,39,0,0
ASV27,0,0,0,0,6148,0
ASV28,0,0,0,0,0,0
ASV29,49,0,19,663,167,0
ASV30,0,0,3,0,0,0
ASV31,0,0,0,0,0,0
ASV32,0,0,0,0,0,0
ASV33,0,0,0,0,4224,0
ASV34,9,0,0,8,0,2091
ASV35,0,0,0,0,233,276
ASV36,0,3060,19,0,0,0
ASV40,0,2812,0,0,0,0
ASV41,0,0,0,0,0,4157
ASV42,0,0,0,0,3179,0
ASV46,1256,0,0,0,0,0
ASV47,0,0,0,0,2296,353
ASV48,10,0,43,0,516,0
ASV49,0,6,0,0,28,168
ASV50,0,0,0,0,0,0
ASV54,28,0,4,129,643,6
ASV55,185,391,1204,306,0,0
ASV58,0,0,35,0,0,4
ASV60,598,91,11,402,136,12
ASV62,0,0,0,0,596,10
ASV65,107,0,10,71,61,3
ASV67,0,0,0,0,1501,0
ASV68,0,0,0,0,0,0
ASV69,0,1306,18,0,0,0
ASV72,0,0,75,2,62,742
ASV73,0,0,767,7,130,778
ASV74,8,1279,26,6,14,10
ASV77,1244,0,8,225,0,0
ASV81,681,0,0,683,0,0
ASV82,0,0,0,0,2,0
ASV83,376,31,421,371,0,0
ASV85,0,0,0,9,0,15
ASV86,478,351,4,282,0,5
ASV87,0,965,0,0,0,0
ASV89,369,5,5,730,16,0
ASV91,1033,0,0,0,0,0
ASV92,0,0,1185,0,0,0
ASV93,695,0,0,49,0,0
ASV97,0,0,0,0,0,0
ASV98,0,0,1148,0,0,0
ASV99,10,25,115,133,67,665
ASV102,0,533,334,0,0,0
ASV105,0,12,0,0,657,323
ASV107,0,0,0,0,288,0
ASV108,767,0,10,55,0,0
ASV109,0,0,0,0,822,0
ASV110,611,0,66,186,0,0
ASV111,0,0,941,0,29,0
ASV113,445,0,196,192,0,0
ASV117,0,0,0,15,715,0
ASV118,0,0,726,0,0,0
ASV119,0,512,107,0,4,6
ASV120,797,0,0,0,0,0
ASV121,0,659,0,0,0,0
ASV122,0,0,0,0,51,859
ASV123,0,0,0,0,134,590
ASV126,0,560,0,4,38,0
ASV128,0,0,462,0,0,380
ASV133,0,553,0,0,0,0
ASV135,0,0,8,0,131,400
ASV137,0,0,0,619,0,0
ASV145,0,509,0,8,10,0
ASV147,0,0,0,0,529,120
ASV149,14,0,6,11,124,0
ASV150,12,119,483,15,0,0
ASV153,0,504,0,0,0,0
ASV154,489,0,0,6,0,0
ASV155,0,0,0,0,0,0
ASV156,0,329,157,0,0,0
ASV157,0,0,0,0,0,0
ASV158,5,0,49,376,43,14
ASV160,0,0,8,0,0,0
ASV163,0,0,0,0,17,601
ASV164,0,320,196,0,0,0
ASV165,214,5,0,318,0,0
